Unnamed: 0,Tenure,Gender,EducationLevel,LoanStatus,NetPromoterScore,TransactionFrequency,Surname,Age,Geography,ComplaintsCount,HasCrCard,EstimatedSalary,IsActiveMember,AvgTransactionAmount,CustomerSegment,MaritalStatus,DigitalEngagementScore,ID,CreditScore,SavingsAccountFlag,Balance,NumOfProducts,Exited
1,,Female,University,,10.0,34.0,,29.0,France,0.0,,,0.0,,Mass Market,Married,60.0,6222.0,832.0,1.0,,2.0,0
2,1.0,,University,No loan,9.0,31.0,Chiagoziem,41.0,France,0.0,,,0.0,,Mass Market,Married,,3217.0,,1.0,,,0
3,8.0,Male,University,No loan,8.0,26.0,,43.0,Spain,0.0,1.0,135650.72,0.0,228.837824334054,Mass Market,,,,577.0,1.0,79757.21,1.0,1
4,,Female,High School,Active loan,,32.0,Mackay,48.0,Germany,0.0,0.0,102640.52,,133.894064907503,Affluent,,,,482.0,0.0,,,1
5,3.0,Male,High School,Active loan,6.0,41.0,,34.0,France,,1.0,83773.02,1.0,91.5700291965424,,Single,67.0,5511.0,635.0,0.0,,,0
6,,Male,University,,9.0,33.0,O'Loughlin,,Spain,,,116706.0,0.0,87.9635956341026,,Married,43.0,3575.0,656.0,,0.0,2.0,0
7,,Male,High School,Active loan,4.0,22.0,,34.0,Spain,,,50046.25,0.0,,,Single,67.0,1601.0,745.0,0.0,,2.0,0
8,4.0,,University,,8.0,31.0,Akobundu,26.0,Germany,0.0,,145900.89,1.0,,Mass Market,,,4462.0,,1.0,,1.0,0
9,,Male,University,,10.0,,,29.0,France,0.0,0.0,149991.32,1.0,193.311875003855,Mass Market,,69.0,5417.0,797.0,1.0,0.0,1.0,0
10,5.0,Female,,Active loan,5.0,29.0,Siciliani,30.0,Germany,0.0,1.0,141148.21,1.0,55.17842745398,Affluent,,45.0,,485.0,1.0,156771.68,1.0,0
11,5.0,Male,,,4.0,34.0,,46.0,,0.0,1.0,54394.28,0.0,214.938857593412,Affluent,,20.0,3958.0,610.0,,,1.0,0
12,6.0,Male,,,8.0,28.0,Darwin,35.0,France,0.0,,28707.69,0.0,120.926366759825,Mass Market,Married,55.0,,835.0,,127120.07,1.0,0
13,,Male,,Active loan,5.0,,Glazkov,26.0,Germany,0.0,,79414.0,0.0,111.751095400673,Affluent,Single,63.0,178.0,,,152400.51,2.0,0
14,4.0,Female,High School,,4.0,,,39.0,Spain,0.0,1.0,120612.11,1.0,49.7913339472809,Affluent,Single,61.0,,684.0,,139723.9,1.0,0
